Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
Total,< 6 months,0,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,,,5,0.00%
,< 6 months,0,HEPATITIS B VACCINE,HEP,Female,F,3445,0.51%
,< 6 months,0,HEPATITIS B VACCINE,HEP,Male,M,3968,0.59%
,< 6 months,0,HEPATITIS B VACCINE,HEP,Unknown,U,184,0.03%
Total,< 6 months,0,HEPATITIS B VACCINE,HEP,,,7597,1.12%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Female,F,17,0.00%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Male,M,16,0.00%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Unknown,U,16,0.00%
Total,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,,,49,0.01%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Female,F,13,0.00%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Male,M,14,0.00%
,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Unknown,U,24,0.00%
Total,< 6 months,0,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,,,51,0.01%
,< 6 months,0,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Female,F,2,0.00%
,< 6 months,0,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Male,M,2,0.00%
,< 6 months,0,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Unknown,U,4,0.00%
Total,< 6 months,0,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,,,8,0.00%
,< 6 months,0,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Female,F,9,0.00%
,< 6 months,0,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Male,M,7,0.00%
,< 6 months,0,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Unknown,U,1,0.00%
Total,< 6 months,0,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),,,17,0.00%
,< 6 months,0,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Female,F,6,0.00%
,< 6 months,0,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Male,M,2,0.00%
Total,< 6 months,0,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),,,8,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Female,F,37,0.01%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Male,M,24,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Unknown,U,2,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),,,63,0.01%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Female,F,58,0.01%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Male,M,41,0.01%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Unknown,U,14,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),,,113,0.02%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Female,F,2,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Male,M,5,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Unknown,U,2,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),,,9,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Male,M,2,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),,,2,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Female,F,1,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),,,1,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Female,F,112,0.02%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Male,M,102,0.02%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Unknown,U,30,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),,,244,0.04%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Female,F,6,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Male,M,4,0.00%
,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Unknown,U,1,0.00%
Total,< 6 months,0,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),,,11,0.00%
,< 6 months,0,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Female,F,4,0.00%
,< 6 months,0,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Male,M,5,0.00%
,< 6 months,0,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Unknown,U,1,0.00%
Total,< 6 months,0,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),,,10,0.00%
,< 6 months,0,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,Female,F,2,0.00%
,< 6 months,0,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,Unknown,U,1,0.00%
Total,< 6 months,0,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,,,3,0.00%
,< 6 months,0,LYME VACCINE (LYMERIX),LYME,Female,F,1,0.00%
Total,< 6 months,0,LYME VACCINE (LYMERIX),LYME,,,1,0.00%
,< 6 months,0,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,Male,M,1,0.00%
Total,< 6 months,0,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,,,1,0.00%
,< 6 months,0,MEASLES AND RUBELLA VACCINE,MER,Female,F,1,0.00%
,< 6 months,0,MEASLES AND RUBELLA VACCINE,MER,Male,M,1,0.00%
Total,< 6 months,0,MEASLES AND RUBELLA VACCINE,MER,,,2,0.00%
,< 6 months,0,MEASLES VACCINE,MEA,Female,F,3,0.00%
,< 6 months,0,MEASLES VACCINE,MEA,Male,M,2,0.00%
Total,< 6 months,0,MEASLES VACCINE,MEA,,,5,0.00%
,< 6 months,0,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Female,F,144,0.02%
,< 6 months,0,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Male,M,184,0.03%
,< 6 months,0,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Unknown,U,34,0.01%
Total,< 6 months,0,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,,,362,0.05%
,< 6 months,0,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Female,F,21,0.00%
,< 6 months,0,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Male,M,25,0.00%
,< 6 months,0,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Unknown,U,15,0.00%
Total,< 6 months,0,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,,,61,0.01%
,< 6 months,0,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,Male,M,3,0.00%
Total,< 6 months,0,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,,,3,0.00%
,< 6 months,0,MENINGOCOCCAL B VACCINE,MENB,Female,F,5,0.00%
,< 6 months,0,MENINGOCOCCAL B VACCINE,MENB,Male,M,4,0.00%
,< 6 months,0,MENINGOCOCCAL B VACCINE,MENB,Unknown,U,1,0.00%
Total,< 6 months,0,MENINGOCOCCAL B VACCINE,MENB,,,10,0.00%
,< 6 months,0,MENINGOCOCCAL GROUPS C AND Y + HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE,MENHIB,Female,F,2,0.00%
,< 6 months,0,MENINGOCOCCAL GROUPS C AND Y + HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE,MENHIB,Male,M,2,0.00%
Total,< 6 months,0,MENINGOCOCCAL GROUPS C AND Y + HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE,MENHIB,,,4,0.00%
,< 6 months,0,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Female,F,14,0.00%
,< 6 months,0,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Male,M,17,0.00%
,< 6 months,0,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Unknown,U,1,0.00%
Total,< 6 months,0,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,,,32,0.00%
,< 6 months,0,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Female,F,25,0.00%
,< 6 months,0,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Male,M,40,0.01%
,< 6 months,0,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Unknown,U,7,0.00%
Total,< 6 months,0,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,,,72,0.01%
,< 6 months,0,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,Female,F,1,0.00%
Total,< 6 months,0,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,,,1,0.00%
,< 6 months,0,"MUMPS VIRUS VACCINE, LIVE",MU,Male,M,2,0.00%
Total,< 6 months,0,"MUMPS VIRUS VACCINE, LIVE",MU,,,2,0.00%
,< 6 months,0,"PERTUSSIS, ADSORBED VACCINE",PER,Female,F,4,0.00%
,< 6 months,0,"PERTUSSIS, ADSORBED VACCINE",PER,Male,M,14,0.00%
,< 6 months,0,"PERTUSSIS, ADSORBED VACCINE",PER,Unknown,U,2,0.00%
Total,< 6 months,0,"PERTUSSIS, ADSORBED VACCINE",PER,,,20,0.00%
,< 6 months,0,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Female,F,343,0.05%
,< 6 months,0,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Male,M,352,0.05%
,< 6 months,0,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Unknown,U,71,0.01%
Total,< 6 months,0,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,,,766,0.11%
,< 6 months,0,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Female,F,2,0.00%
,< 6 months,0,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Male,M,2,0.00%
,< 6 months,0,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Unknown,U,1,0.00%
Total,< 6 months,0,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,,,5,0.00%
,< 6 months,0,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Female,F,2494,0.37%
,< 6 months,0,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Male,M,2879,0.42%
,< 6 months,0,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Unknown,U,61,0.01%
Total,< 6 months,0,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,,,5434,0.80%
,< 6 months,0,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Female,F,3963,0.58%
,< 6 months,0,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Male,M,4661,0.69%
,< 6 months,0,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Unknown,U,101,0.01%
Total,< 6 months,0,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,,,8725,1.29%
,< 6 months,0,POLIOVIRUS VACCINE INACTIVATED,IPV,Female,F,3590,0.53%
,< 6 months,0,POLIOVIRUS VACCINE INACTIVATED,IPV,Male,M,4041,0.60%
,< 6 months,0,POLIOVIRUS VACCINE INACTIVATED,IPV,Unknown,U,107,0.02%
Total,< 6 months,0,POLIOVIRUS VACCINE INACTIVATED,IPV,,,7738,1.14%
,< 6 months,0,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Female,F,4356,0.64%
,< 6 months,0,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Male,M,5186,0.76%
,< 6 months,0,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Unknown,U,85,0.01%
Total,< 6 months,0,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,,,9627,1.42%
,< 6 months,0,RABIES VIRUS VACCINE,RAB,Female,F,5,0.00%
,< 6 months,0,RABIES VIRUS VACCINE,RAB,Male,M,7,0.00%
Total,< 6 months,0,RABIES VIRUS VACCINE,RAB,,,12,0.00%
,< 6 months,0,ROTAVIRUS (NO BRAND NAME),RVX,Female,F,274,0.04%
,< 6 months,0,ROTAVIRUS (NO BRAND NAME),RVX,Male,M,302,0.04%
,< 6 months,0,ROTAVIRUS (NO BRAND NAME),RVX,Unknown,U,18,0.00%
Total,< 6 months,0,ROTAVIRUS (NO BRAND NAME),RVX,,,594,0.09%
,< 6 months,0,ROTAVIRUS VACCINE (ROTASHIELD),RV,Female,F,219,0.03%
,< 6 months,0,ROTAVIRUS VACCINE (ROTASHIELD),RV,Male,M,228,0.03%
,< 6 months,0,ROTAVIRUS VACCINE (ROTASHIELD),RV,Unknown,U,40,0.01%
Total,< 6 months,0,ROTAVIRUS VACCINE (ROTASHIELD),RV,,,487,0.07%
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Female,F,874,0.13%
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Male,M,1010,0.15%
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Unknown,U,34,0.01%
Total,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,,,1918,0.28%
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Female,F,3757,0.55%
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Male,M,4180,0.62%
